KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,18/3/2024 3:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,0.03,0.1,37213.7,1.55,-0.51,-0.16,33970.4,99.4,99,6.74,228.7,2.248,22.26,34292.4,0.12,0.25,22290,3.1,0,1.188,NA,-84.8,29.362,1.649,-14.70913,145.3645,5.5,0,12,754.6
,,,STANDARD DEVIATION:,0.02,0.08,23940.3,1.416,0.19,0.06,21849.8,0.6,0.6,0.54,0.8,2.052,14.43,22057.4,0.1,0.29,14337,3.66,0,0,0.01,0.6,0.185,1.465,0,0.00001,1.4,0,0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,17E102873,17E102873,18C105282,23A104152,22L104463,22L104463,18C105282,22M100242,22M100242,22M100242,22J106095,23A104152,18C105282,18C105282,17E102873,17E102873,18C105282,23B100516,23B100516,22J100672,22J106095,22J106095,18C105282,23A104152,22F105968,22F105968,22F105968,22F105968,22F105968,22F105968
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PE RFU,BGA PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
20/3/2024,9:14:11,0,<None>,0.02,0.09,54317.1,0.147,-0.11,-0.03,49631.6,95.2,94.8,6.07,194.2,0.213,32.69,50096.5,0.33,0.84,32563,0.71,0,1.174,8.25,-97.8,29.411,0.604,0,0,0,0,12,758.1
20/3/2024,9:14:12,0,<None>,0.01,0.04,54320.1,0.163,-0.11,-0.03,49635.3,95,94.6,6.06,194.8,0.237,32.69,50100.2,0.29,0.73,32565,0.7,0,1.174,8.25,-97.8,29.41,0.613,0,0,0,0,12,758.1
20/3/2024,9:14:13,0,<None>,0.02,0.06,54322.3,0.18,-0.12,-0.03,49637.6,94.9,94.5,6.05,195.3,0.261,32.69,50102.4,0.25,0.6,32567,0.7,0,1.174,8.25,-97.8,29.41,0.624,0,0,0,0,12,758
20/3/2024,9:14:14,0,<None>,0.02,0.07,54339.8,0.2,-0.1,-0.03,49652.9,94.7,94.4,6.04,195.9,0.291,32.7,50117.9,0.24,0.6,32577,0.7,0,1.174,8.25,-97.8,29.41,0.628,0,0,0,0,12,758.1
20/3/2024,9:14:15,0,<None>,0.01,0.05,54347.3,0.217,-0.08,-0.02,49662.6,94.7,94.3,6.04,196.3,0.315,32.71,50127.4,0.18,0.43,32583,0.71,0,1.174,8.25,-97.8,29.407,0.621,0,0,0,0,12,758
20/3/2024,9:14:16,0,<None>,0.01,0.02,54349.5,0.23,-0.05,-0.01,49665.5,94.6,94.2,6.03,196.8,0.334,32.71,50130.3,0.13,0.29,32585,0.71,0,1.174,8.25,-97.8,29.407,0.624,0,0,0,0,12,758
20/3/2024,9:14:17,0,<None>,0.02,0.08,54350.8,0.25,-0.01,0,49667.3,94.5,94.1,6.03,197.2,0.363,32.71,50132,0.09,0.16,32586,0.7,0,1.174,8.25,-97.8,29.406,0.62,0,0,0,0,12,758
20/3/2024,9:14:18,0,<None>,0.01,0.04,54352.2,0.264,-0.15,-0.04,49668.3,94.4,94,6.02,197.6,0.383,32.71,50133,0.08,0.15,32586,0.7,0,1.174,8.25,-97.7,29.406,0.617,0,0,0,0,12,758.1
20/3/2024,9:14:19,0,<None>,0.01,0.02,54353.2,0.284,-0.17,-0.05,49668,94.4,94,6.02,198,0.413,32.71,50132.8,0.06,0.09,32586,0.69,0,1.174,8.25,-97.7,29.407,0.642,0,0,0,0,12,758
20/3/2024,9:14:20,0,<None>,0,0,54352.5,0.303,-0.19,-0.06,49666.9,94.3,93.9,6.01,198.4,0.44,32.71,50131.8,0.07,0.12,32586,0.69,0,1.174,8.25,-97.7,29.408,0.759,0,0,0,0,12,758.1
20/3/2024,9:14:21,0,<None>,0,0.01,54351,1.346,-0.19,-0.06,49666.5,94.3,93.9,6.01,198.7,1.953,32.71,50131.3,0.07,0.1,32585,0.7,0,1.174,8.24,-97.7,29.407,1.083,0,0,0,0,12,758
20/3/2024,9:14:22,0,<None>,0,-0.02,54351.9,2.558,-0.17,-0.05,49669.6,94.2,93.9,6.01,199.1,3.712,32.71,50134.1,0.07,0.1,32587,0.91,0,1.174,8.24,-97.7,29.404,2.032,0,0,0,0,12,758.1
20/3/2024,9:14:23,0,<None>,0.01,0.02,54353.2,2.129,-0.14,-0.04,49672.1,94.2,93.8,6.01,199.6,3.09,32.72,50136.6,0.07,0.11,32589,1.65,0,1.174,8.24,-97.7,29.403,2.25,-14.64808,145.4546,12.8,0,12,758.1
20/3/2024,9:14:24,0,<None>,0.01,0.04,54353.7,1.917,-0.05,-0.01,49672.9,94.2,93.8,6.01,200.3,2.782,32.72,50137.3,0.08,0.14,32589,3.07,0,1.174,8.24,-97.7,29.403,1.985,-14.64808,145.4546,13.3,0,12,758.1
20/3/2024,9:14:25,0,<None>,0.01,0.04,54353.6,1.876,-0.03,0,49673.7,94.2,93.8,6.01,201.1,2.722,32.72,50138,0.07,0.11,32590,3.41,0,1.174,8.24,-97.7,29.402,1.831,-14.64807,145.4546,11.2,0,12,758
20/3/2024,9:14:26,0,<None>,0.02,0.07,54354,1.782,-0.04,-0.01,49674.1,94.2,93.8,6.01,202,2.585,32.72,50138.4,0.09,0.16,32590,3.57,0,1.174,8.24,-97.7,29.402,1.596,-14.64807,145.4546,11.2,0,12,758.1
20/3/2024,9:14:27,0,<None>,0.02,0.08,54354.3,1.613,-0.03,0,49675.6,94.3,93.9,6.01,202.7,2.341,32.72,50139.8,0.11,0.21,32591,3.64,0,1.174,8.24,-97.7,29.401,1.255,-14.64809,145.4545,11.6,0,12,758
20/3/2024,9:14:28,0,<None>,0.02,0.08,54353.9,1.469,-0.03,0,49677.1,94.3,93.9,6.01,203.4,2.131,32.72,50141.1,0.09,0.18,32592,3.66,0,1.174,8.24,-97.7,29.399,0.961,-14.64811,145.4546,13.8,0,12,758
20/3/2024,9:14:29,0,<None>,0.03,0.1,54352.8,0.347,-0.03,0,49677.6,94.3,93.9,6.02,204,0.503,32.72,50141.5,0.09,0.17,32592,3.65,0,1.174,8.24,-97.6,29.397,0.556,0,0,0,0,12,758
20/3/2024,9:14:30,0,<None>,0.03,0.13,54352,0.14,-0.04,-0.01,49678.4,94.4,94,6.02,204.6,0.203,32.72,50142.1,0.09,0.17,32592,3.67,0,1.174,8.24,-97.6,29.396,0.285,0,0,0,0,12,758.1
20/3/2024,9:14:31,0,<None>,0.05,0.18,54348.5,-0.033,-0.05,-0.01,49675.7,94.4,94,6.02,205.1,-0.048,32.72,50139.3,0.09,0.18,32591,3.67,0,1.174,8.24,-97.6,29.395,0.077,0,0,0,0,12,758
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,0.05,0.21,54014.6,1.653,0.08,0.03,49292.2,93.9,93.5,5.99,204.5,2.398,32.44,49761.2,0.29,0.73,32345,3.32,0,1.174,NA,-95.4,29.475,1.653,-14.64775,145.4542,6.8,0,12,758
,,,STANDARD DEVIATION:,0.02,0.06,291.9,1.221,0.22,0.07,451.6,0.2,0.2,0.01,3.8,1.772,0.32,434.6,0.17,0.48,282,3.13,0,0,0,0.1,0.192,1.115,0.00001,0.00001,0.3,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,17E102873,17E102873,18C105282,23A104152,22L104463,22L104463,18C105282,22M100242,22M100242,22M100242,22J106095,23A104152,18C105282,18C105282,17E102873,17E102873,18C105282,23B100516,23B100516,22J100672,22J106095,22J106095,18C105282,23A104152,22F105968,22F105968,22F105968,22F105968,22F105968,22F105968
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PE RFU,BGA PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
20/3/2024,9:16:41,0,<None>,0.08,0.3,53316.9,-0.008,-0.4,-0.13,48234.1,94.3,93.9,6,199.1,-0.012,31.68,48741.3,0.62,1.65,31682,9.78,0,1.174,8.2,-95.2,29.915,0.161,-14.64777,145.4542,6.2,0,12,758.1
20/3/2024,9:16:42,0,<None>,0.07,0.29,53454.4,-0.003,-0.31,-0.1,48413.7,94.2,93.8,5.99,199.4,-0.004,31.81,48916.4,0.59,1.56,31796,9.13,0,1.174,8.2,-95.2,29.849,0.179,-14.64777,145.4542,6.5,0,12,757.9
20/3/2024,9:16:43,0,<None>,0.07,0.29,53607.6,0.004,-0.23,-0.07,48617,94.1,93.7,5.99,199.8,0.006,31.96,49114.3,0.54,1.43,31924,8.38,0,1.174,8.2,-95.2,29.79,0.207,-14.64776,145.4542,6.6,0,12,758
20/3/2024,9:16:44,0,<None>,0.08,0.3,53713.7,0.01,-0.17,-0.05,48769.9,94,93.6,5.98,200.3,0.014,32.07,49262.2,0.49,1.3,32020,7.52,0,1.174,8.2,-95.3,29.722,0.408,-14.64776,145.4542,6.7,0,12,758
20/3/2024,9:16:45,0,<None>,0.07,0.26,53798.9,2.333,-0.11,-0.03,48923.1,93.9,93.5,5.98,200.7,3.384,32.17,49408.2,0.47,1.23,32115,6.62,0,1.174,8.2,-95.3,29.653,1.599,-14.64776,145.4542,6.6,0,12,758
20/3/2024,9:16:46,0,<None>,0.05,0.19,53861,2.903,-0.02,0,49050.8,93.8,93.4,5.98,201.2,4.211,32.26,49529,0.43,1.13,32194,5.62,0,1.174,8.2,-95.4,29.569,2.585,-14.64776,145.4542,6.7,0,12,758
20/3/2024,9:16:47,0,<None>,0.05,0.18,53918.1,2.426,0.05,0.02,49180.9,93.8,93.4,5.98,201.8,3.519,32.36,49651.4,0.39,1.02,32273,4.85,0,1.174,8.2,-95.4,29.499,2.53,-14.64775,145.4542,6.8,0,12,758
20/3/2024,9:16:48,0,<None>,0.04,0.16,53956.9,2.407,0.12,0.05,49260.9,93.7,93.4,5.98,202.3,3.492,32.41,49727.1,0.36,0.92,32323,4.12,0,1.174,8.2,-95.4,29.451,2.412,-14.64775,145.4542,6.9,0,12,758
20/3/2024,9:16:49,0,<None>,0.03,0.13,53992.6,2.394,0.17,0.06,49311.8,93.7,93.3,5.98,202.9,3.473,32.45,49776.4,0.3,0.77,32355,2.18,0,1.174,8.2,-95.4,29.435,2.436,-14.64775,145.4542,6.9,0,12,758
20/3/2024,9:16:50,0,<None>,0.03,0.13,54017.8,2.431,0.22,0.08,49349.2,93.7,93.3,5.98,203.5,3.527,32.48,49812.5,0.27,0.68,32378,1.44,0,1.174,8.21,-95.4,29.418,2.542,-14.64775,145.4542,6.8,0,12,758
20/3/2024,9:16:51,0,<None>,0.03,0.11,54043,3.448,0.28,0.1,49389.6,93.8,93.4,5.99,204.2,5.002,32.51,49851.3,0.25,0.61,32403,1.14,0,1.174,8.21,-95.5,29.402,3.114,-14.64775,145.4542,6.7,0,12,758
20/3/2024,9:16:52,0,<None>,0.03,0.12,54118.3,3.432,0.34,0.12,49476.5,93.7,93.3,5.98,204.9,4.979,32.57,49936.9,0.21,0.5,32459,1.02,0,1.174,8.21,-95.5,29.384,3.371,-14.64775,145.4542,6.7,0,12,758
20/3/2024,9:16:53,0,<None>,0.04,0.14,54191.6,2.864,0.4,0.14,49558.2,93.7,93.4,5.98,205.6,4.156,32.63,50017.7,0.15,0.33,32512,1.01,0,1.174,8.21,-95.5,29.367,3.096,-14.64774,145.4542,6.6,0,12,758
20/3/2024,9:16:54,0,<None>,0.06,0.22,54266.2,2.425,0.38,0.13,49641.8,93.8,93.4,5.98,206.3,3.518,32.69,50100.3,0.12,0.27,32565,0.95,0,1.174,8.21,-95.4,29.353,2.682,-14.64774,145.4542,6.8,0,12,758
20/3/2024,9:16:55,0,<None>,0.07,0.27,54290.8,2.27,0.29,0.1,49678,93.8,93.4,5.99,207,3.294,32.72,50135.4,0.14,0.3,32588,0.93,0,1.174,8.21,-95.4,29.338,2.169,-14.64774,145.4542,6.9,0,12,758
20/3/2024,9:16:56,0,<None>,0.07,0.26,54300.8,2.059,0.23,0.08,49703.4,93.8,93.4,5.99,207.8,2.988,32.73,50159.1,0.13,0.27,32603,0.89,0,1.174,8.21,-95.5,29.323,1.784,-14.64774,145.4542,7.1,0,12,758
20/3/2024,9:16:57,0,<None>,0.06,0.23,54300.6,1.827,0.16,0.06,49718.4,93.9,93.5,5.99,208.5,2.652,32.74,50172.5,0.15,0.34,32612,0.87,0,1.174,8.21,-95.5,29.306,1.432,-14.64773,145.4542,7.2,0,12,758
20/3/2024,9:16:58,0,<None>,0.06,0.22,54298.4,0.927,0.13,0.05,49721.9,94,93.6,6,209.1,1.345,32.75,50175.4,0.14,0.3,32614,0.86,0,1.174,8.21,-95.5,29.302,1.072,-14.64773,145.4542,7.2,0,12,758
20/3/2024,9:16:59,0,<None>,0.06,0.24,54293.8,0.419,0.08,0.03,49719.1,94.1,93.7,6.01,209.8,0.608,32.75,50172.5,0.13,0.28,32612,0.86,0,1.174,8.21,-95.6,29.3,0.639,-14.64773,145.4542,7.3,0,12,758
20/3/2024,9:17:00,0,<None>,0.05,0.21,54287.6,0.089,0.05,0.02,49714.9,94.2,93.9,6.02,210.3,0.129,32.74,50168,0.12,0.25,32609,0.85,0,1.174,8.21,-95.6,29.299,0.24,-14.64773,145.4542,7.1,0,12,758
20/3/2024,9:17:01,0,<None>,0.05,0.19,54278.1,0.061,0.04,0.02,49703.6,94.4,94,6.03,210.8,0.088,32.73,50157,0.11,0.22,32602,0.8,0,1.174,8.21,-95.7,29.303,0.061,-14.64773,145.4542,7,0,12,758
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,0.05,0.21,54273.2,3.815,-0.14,-0.04,49652.3,95.4,95,6.09,194.5,5.536,32.7,50110.5,0.25,0.62,32572,3.03,0,1.174,NA,-96.2,29.349,3.865,-14.64724,145.4537,6,0,12,758
,,,STANDARD DEVIATION:,0.04,0.17,93.3,3.064,0.17,0.06,250.7,0.4,0.4,0.02,8.5,4.446,0.18,232.3,0.09,0.24,151,3.59,0,0,0.01,0.3,0.191,2.996,0.00002,0.00003,0.4,0,0,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,17E102873,17E102873,18C105282,23A104152,22L104463,22L104463,18C105282,22M100242,22M100242,22M100242,22J106095,23A104152,18C105282,18C105282,17E102873,17E102873,18C105282,23B100516,23B100516,22J100672,22J106095,22J106095,18C105282,23A104152,22F105968,22F105968,22F105968,22F105968,22F105968,22F105968
Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,ORP mV,Pressure psi a,Sal psu,SpCond µS/cm,BGA PE RFU,BGA PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
20/3/2024,9:17:38,0,<None>,0.18,0.71,54066.5,-0.005,-0.19,-0.06,48820.2,96.1,95.7,6.09,178.4,-0.007,32.12,49344.4,0.39,1,32074,0.74,0,1.174,8.2,-95.2,30,0.198,-14.64728,145.4538,6.2,0,12,758
20/3/2024,9:17:39,0,<None>,0.18,0.69,54109.7,0,-0.13,-0.04,48940.6,96,95.6,6.08,179.1,0,32.2,49456.5,0.36,0.94,32147,0.68,0,1.174,8.2,-95.3,29.926,0.195,-14.64728,145.4538,6.1,0,12,758.1
20/3/2024,9:17:40,0,<None>,0.17,0.67,54143.2,0.006,-0.05,-0.01,49040.3,95.9,95.5,6.08,180.1,0.009,32.27,49549.3,0.37,0.95,32207,0.69,0,1.174,8.2,-95.5,29.844,0.233,-14.64728,145.4537,6,0,12,758
20/3/2024,9:17:41,0,<None>,0.16,0.65,54164.6,0.015,0,0.01,49138.6,95.7,95.4,6.08,181.3,0.022,32.34,49639.4,0.38,0.98,32266,0.65,0,1.174,8.21,-95.6,29.773,0.26,-14.64727,145.4537,6.1,0,12,757.9
20/3/2024,9:17:42,0,<None>,0.17,0.67,54178.2,0.022,0.02,0.01,49219.9,95.7,95.3,6.08,182.3,0.033,32.4,49713.5,0.38,0.99,32314,0.64,0,1.174,8.21,-95.7,29.692,0.256,-14.64727,145.4537,6.1,0,12,758
20/3/2024,9:17:43,0,<None>,0.11,0.45,54192.6,0.029,0.02,0.01,49312.1,95.6,95.2,6.08,183.1,0.043,32.46,49797.5,0.36,0.91,32368,0.61,0,1.174,8.21,-95.8,29.621,0.249,-14.64727,145.4537,6.3,0,12,758
20/3/2024,9:17:44,0,<None>,0.03,0.1,54203.5,0.037,0.01,0.01,49391.4,95.5,95.1,6.08,183.9,0.054,32.52,49869.6,0.33,0.84,32415,0.61,0,1.174,8.21,-95.9,29.54,0.261,-14.64727,145.4537,6.3,0,12,758
20/3/2024,9:17:45,0,<None>,0.03,0.11,54212.6,0.046,0.01,0.01,49475.7,95.4,95,6.08,184.5,0.067,32.57,49946.1,0.31,0.79,32465,0.59,0,1.174,8.21,-95.9,29.472,0.274,-14.64727,145.4537,6.3,0,12,758
20/3/2024,9:17:46,0,<None>,0.04,0.14,54218.2,0.054,0.01,0.01,49522.9,95.4,95,6.08,185.2,0.079,32.61,49988.9,0.29,0.73,32493,0.59,0,1.174,8.21,-96,29.428,0.278,-14.64726,145.4537,6.3,0,12,758
20/3/2024,9:17:47,0,<None>,0.04,0.14,54223.6,0.062,0.03,0.02,49538.1,95.4,95.1,6.09,185.8,0.09,32.62,50003,0.28,0.7,32502,0.57,0,1.174,8.22,-96,29.419,0.27,-14.64726,145.4537,6.3,0,12,758
20/3/2024,9:17:48,0,<None>,0.04,0.15,54227.4,0.068,0.05,0.02,49549.9,95.5,95.1,6.09,186.5,0.099,32.63,50014,0.26,0.63,32509,0.56,0,1.174,8.22,-96.1,29.411,0.283,-14.64726,145.4537,6.3,0,12,758
20/3/2024,9:17:49,0,<None>,0.04,0.15,54239,0.076,0.07,0.03,49566.6,95.6,95.3,6.1,187,0.11,32.64,50030.1,0.25,0.6,32520,0.56,0,1.174,8.22,-96.1,29.404,0.281,-14.64726,145.4537,6.3,0,12,758
20/3/2024,9:17:50,0,<None>,0.04,0.16,54251.9,0.085,0.12,0.05,49584,95.8,95.4,6.11,187.6,0.124,32.65,50047.1,0.25,0.62,32531,0.57,0,1.174,8.22,-96.1,29.399,0.424,-14.64726,145.4537,6.4,0,12,758
20/3/2024,9:17:51,0,<None>,0.04,0.17,54254,2.43,0.15,0.06,49595.8,95.9,95.5,6.12,188.1,3.525,32.66,50057.9,0.21,0.5,32538,0.56,0,1.174,8.22,-96.2,29.387,1.725,-14.64725,145.4537,6.4,0,12,758
20/3/2024,9:17:52,0,<None>,0.04,0.17,54253.8,3.387,-0.03,0,49611.3,95.9,95.5,6.12,188.7,4.914,32.67,50071.8,0.15,0.33,32547,0.54,0,1.174,8.22,-96.2,29.373,2.773,-14.64725,145.4537,6.5,0,12,758
20/3/2024,9:17:53,0,<None>,0.04,0.17,54249.2,3.775,-0.15,-0.04,49621.9,96,95.6,6.13,189.3,5.477,32.68,50080.7,0.15,0.34,32552,0.54,0,1.174,8.22,-96.2,29.356,3.574,-14.64725,145.4537,6.5,0,12,758
20/3/2024,9:17:54,0,<None>,0.04,0.15,54244.5,3.949,-0.24,-0.07,49635.7,96,95.6,6.13,189.8,5.729,32.68,50092.6,0.13,0.27,32560,0.51,0,1.174,8.22,-96.2,29.34,4.071,-14.64725,145.4537,6.5,0,12,758
20/3/2024,9:17:55,0,<None>,0.04,0.15,54240,4.287,-0.3,-0.09,49646.4,96,95.6,6.13,190.3,6.221,32.69,50101.7,0.13,0.29,32566,0.48,0,1.174,8.22,-96.2,29.322,4.539,-14.64725,145.4537,6.6,0,12,758
20/3/2024,9:17:56,0,<None>,0.04,0.16,54233.7,4.566,-0.35,-0.11,49657,96,95.6,6.13,190.8,6.625,32.7,50110.5,0.13,0.28,32572,0.48,0,1.174,8.22,-96.3,29.308,4.778,-14.64724,145.4537,6.8,0,12,757.9
20/3/2024,9:17:57,0,<None>,0.03,0.13,54228.4,4.677,-0.37,-0.12,49665.9,96,95.6,6.13,191.3,6.787,32.7,50118,0.14,0.3,32577,0.47,0,1.174,8.22,-96.3,29.292,5.076,-14.64724,145.4537,6.7,0,12,758.1
20/3/2024,9:17:58,0,<None>,0.03,0.13,54223.9,5.558,-0.38,-0.12,49676.4,95.9,95.5,6.13,191.7,8.065,32.71,50126.9,0.14,0.3,32583,0.48,0,1.174,8.22,-96.3,29.279,5.47,-14.64724,145.4537,6.6,0,12,758
20/3/2024,9:17:59,0,<None>,0.04,0.16,54221.5,5.912,-0.42,-0.13,49686.5,95.8,95.4,6.12,192.2,8.578,32.72,50135.7,0.13,0.28,32588,0.48,0,1.174,8.22,-96.3,29.265,5.726,-14.64724,145.4537,6.7,0,12,758
20/3/2024,9:18:00,0,<None>,0.04,0.15,54219.5,6.309,-0.45,-0.14,49698.1,95.7,95.3,6.12,192.6,9.155,32.73,50145.9,0.11,0.22,32595,0.48,0,1.174,8.22,-96.4,29.252,6.161,-14.64723,145.4537,6.5,0,12,758
20/3/2024,9:18:01,0,<None>,0.03,0.13,54219,6.358,-0.44,-0.14,49708.3,95.6,95.3,6.11,193,9.226,32.73,50155,0.11,0.22,32601,0.48,0,1.174,8.22,-96.4,29.241,6.323,-14.64723,145.4537,6.3,0,12,758
20/3/2024,9:18:02,0,<None>,0.03,0.13,54221.2,6.455,-0.45,-0.15,49722.8,95.5,95.1,6.11,193.9,9.367,32.74,50168.2,0.13,0.29,32609,0.5,0,1.174,8.22,-96.4,29.23,6.788,-14.64723,145.4537,6,0,12,758.1
20/3/2024,9:18:03,0,<None>,0.03,0.12,54231,8.192,-0.46,-0.15,49741.2,95.4,95,6.1,194.8,11.888,32.76,50185.7,0.15,0.33,32621,0.5,0,1.174,8.22,-96.5,29.22,7.655,-14.64723,145.4537,5.9,0,12,758
20/3/2024,9:18:04,0,<None>,0.03,0.11,54256.9,8.513,-0.45,-0.14,49766.6,95.3,94.9,6.1,195.7,12.354,32.77,50211.2,0.17,0.39,32637,0.53,0,1.174,8.22,-96.5,29.219,8.277,-14.64723,145.4537,5.9,0,12,758.1
20/3/2024,9:18:05,0,<None>,0.04,0.15,54281.2,8.62,-0.4,-0.13,49786.5,95.2,94.8,6.09,196.5,12.51,32.79,50231.5,0.17,0.39,32650,0.78,0,1.174,8.22,-96.5,29.221,8.554,-14.64722,145.4537,5.9,0,12,758.1
20/3/2024,9:18:06,0,<None>,0.03,0.13,54308.5,8.634,-0.32,-0.1,49808.2,95.2,94.8,6.08,197.4,12.53,32.81,50253.8,0.21,0.49,32665,2.73,0,1.174,8.22,-96.5,29.225,8.622,-14.64722,145.4537,5.8,0,12,758.1
20/3/2024,9:18:07,0,<None>,0.05,0.17,54336.8,8.638,-0.25,-0.08,49828.7,95.1,94.7,6.08,198.1,12.535,32.82,50275.1,0.22,0.53,32679,3.28,0,1.174,8.22,-96.5,29.23,8.632,-14.64722,145.4537,5.7,0,12,758.1
20/3/2024,9:18:08,0,<None>,0.06,0.23,54361.7,8.64,-0.17,-0.05,49846.1,95,94.7,6.07,198.6,12.538,32.83,50293.2,0.27,0.68,32691,5.76,0,1.174,8.22,-96.5,29.236,8.651,-14.64722,145.4537,5.6,0,12,758
20/3/2024,9:18:09,0,<None>,0.06,0.25,54390.5,8.629,-0.15,-0.04,49866.1,95,94.6,6.07,199.5,12.523,32.85,50314.1,0.26,0.65,32704,7.96,0,1.174,8.22,-96.5,29.242,8.488,-14.64722,145.4537,5.7,0,12,758
20/3/2024,9:18:10,0,<None>,0.06,0.23,54413.6,7.569,-0.12,-0.03,49881.9,95,94.6,6.07,199.8,10.985,32.86,50330.7,0.27,0.67,32715,8.47,0,1.174,8.22,-96.5,29.248,7.899,-14.64722,145.4537,5.7,0,12,758.1
20/3/2024,9:18:11,0,<None>,0.05,0.21,54432.4,7.203,-0.1,-0.03,49894.7,94.9,94.5,6.06,200.7,10.454,32.87,50344.1,0.28,0.69,32724,9.17,0,1.174,8.22,-96.5,29.252,7.382,-14.64722,145.4537,5.5,0,12,758
20/3/2024,9:18:12,0,<None>,0.06,0.22,54441.9,6.777,-0.07,-0.02,49900.9,94.9,94.5,6.06,201.1,9.835,32.88,50350.6,0.29,0.73,32728,9.21,0,1.174,8.22,-96.4,29.254,7.026,-14.64722,145.4537,5.4,0,12,758.1
20/3/2024,9:18:13,0,<None>,0.05,0.21,54448.5,6.493,-0.05,-0.01,49905.2,94.9,94.5,6.06,201.7,9.422,32.88,50355.2,0.31,0.78,32731,9.25,0,1.174,8.22,-96.4,29.256,6.576,-14.64721,145.4537,5.5,0,12,758
20/3/2024,9:18:14,0,<None>,0.05,0.2,54450,6.306,-0.03,-0.01,49906.4,94.8,94.5,6.06,202.1,9.152,32.88,50356.4,0.32,0.81,32732,9.25,0,1.174,8.22,-96.4,29.256,6.124,-14.64721,145.4537,5.5,0,12,758.1
20/3/2024,9:18:15,0,<None>,0.06,0.22,54448.3,6.064,-0.02,0,49904.7,94.8,94.4,6.06,202.7,8.801,32.88,50354.7,0.32,0.82,32731,9.26,0,1.174,8.22,-96.4,29.256,5.77,-14.64721,145.4537,5.1,0,12,758.1
20/3/2024,9:18:16,0,<None>,0.04,0.17,54436.2,5.014,-0.01,0,49894.4,94.8,94.4,6.06,203.1,7.276,32.87,50344.3,0.33,0.83,32724,9.27,0,1.174,8.22,-96.4,29.255,5.261,-14.64721,145.4537,5.6,0,12,758
20/3/2024,9:18:17,0,<None>,0.05,0.18,54412.4,4.638,-0.02,0,49876.4,94.8,94.4,6.06,203.5,6.731,32.86,50325.6,0.33,0.84,32712,9.25,0,1.174,8.22,-96.4,29.252,4.876,-14.64721,145.4537,5.4,0,12,758
20/3/2024,9:18:18,0,<None>,0.03,0.13,54386,4.227,-0.04,-0.01,49857.2,94.8,94.4,6.06,203.8,6.135,32.84,50305.7,0.34,0.87,32699,9.25,0,1.174,8.22,-96.4,29.247,4.435,-14.64721,145.4537,5.3,0,12,758
20/3/2024,9:18:19,0,<None>,0.03,0.1,54362.5,3.723,-0.02,0,49840.3,94.8,94.4,6.06,204.3,5.402,32.83,50288.2,0.35,0.89,32687,9.16,0,1.174,8.22,-96.4,29.242,3.893,-14.64721,145.4537,5.6,0,12,758
20/3/2024,9:18:20,0,<None>,0.02,0.08,54334.6,3.64,-0.02,0,49820.6,94.8,94.4,6.06,204.6,5.282,32.82,50267.6,0.33,0.85,32674,8.6,0,1.174,8.22,-96.4,29.236,3.486,-14.64721,145.4537,5.6,0,12,758
